,year,schoolId,schoolName,subject,tested,percentPassing,zipcode,district,foodInsecurityPercent,medianHouseValue,computerAccessPercentage
51,2024,5392,Westwood Elementary School,Mathematics,269,12.0,85015,3,17.8,312600.0,94.07
52,2024,5392,Westwood Elementary School,Mathematics,269,12.0,85015,8,12.8,312600.0,94.07
53,2024,79203,Sevilla Elementary School-West Campus,English Language Arts,632,26.0,85019,3,17.8,255700.0,91.91
54,2024,79203,Sevilla Elementary School-West Campus,English Language Arts,632,26.0,85019,8,12.8,255700.0,91.91
55,2024,79203,Sevilla Elementary School-West Campus,Mathematics,644,29.0,85019,3,17.8,255700.0,91.91
56,2024,79203,Sevilla Elementary School-West Campus,Mathematics,644,29.0,85019,8,12.8,255700.0,91.91
57,2024,1000041,Madrid Neighborhood School,English Language Arts,437,18.0,85019,3,17.8,255700.0,91.91
58,2024,1000041,Madrid Neighborhood School,English Language Arts,437,18.0,85019,8,12.8,255700.0,91.91
59,2024,1000041,Madrid Neighborhood School,Mathematics,453,10.0,85019,3,17.8,255700.0,91.91
60,2024,1000041,Madrid Neighborhood School,Mathematics,453,10.0,85019,8,12.8,255700.0,91.91
61,2024,1000259,Global Academy of Phoenix,English Language Arts,252,42.0,85019,3,17.8,255700.0,91.91
62,2024,1000259,Global Academy of Phoenix,English Language Arts,252,42.0,85019,8,12.8,255700.0,91.91
63,2024,1000259,Global Academy of Phoenix,Mathematics,253,42.0,85019,3,17.8,255700.0,91.91
64,2024,1000259,Global Academy of Phoenix,Mathematics,253,42.0,85019,8,12.8,255700.0,91.91
65,2024,80990,South Pointe High School,English Language Arts,161,10.0,85042,3,17.8,353400.0,95.53
66,2024,80990,South Pointe High School,English Language Arts,161,10.0,85042,4,14.1,353400.0,95.53
67,2024,80990,South Pointe High School,Mathematics,172,7.0,85042,3,17.8,353400.0,95.53
68,2024,80990,South Pointe High School,Mathematics,172,7.0,85042,4,14.1,353400.0,95.53
69,2024,88335,South Ridge High School,English Language Arts,111,34.0,85043,3,17.8,288900.0,95.66
70,2024,88335,South Ridge High School,Mathematics,114,19.0,85043,3,17.8,288900.0,95.66
71,2024,92315,Great Hearts Academies - Archway Cicero,English Language Arts,261,62.0,85018,1,12.6,805800.0,95.75
72,2024,92315,Great Hearts Academies - Archway Cicero,English Language Arts,261,62.0,85018,3,17.8,805800.0,95.75
73,2024,92315,Great Hearts Academies - Archway Cicero,Mathematics,260,59.0,85018,1,12.6,805800.0,95.75
74,2024,92315,Great Hearts Academies - Archway Cicero,Mathematics,260,59.0,85018,3,17.8,805800.0,95.75
75,2024,91785,Great Hearts Academies - Archway North Phoenix,English Language Arts,360,72.0,85032,1,12.6,387900.0,96.03
76,2024,91785,Great Hearts Academies - Archway North Phoenix,Mathematics,362,75.0,85032,1,12.6,387900.0,96.03
77,2024,1001717,Great Hearts Online - Arizona,English Language Arts,174,42.0,85034,3,17.8,397400.0,95.22
78,2024,1001717,Great Hearts Online - Arizona,English Language Arts,174,42.0,85034,4,14.1,397400.0,95.22
79,2024,1001717,Great Hearts Online - Arizona,Mathematics,174,28.0,85034,3,17.8,397400.0,95.22
80,2024,1001717,Great Hearts Online - Arizona,Mathematics,174,28.0,85034,4,14.1,397400.0,95.22
81,2024,91000,Great Hearts Academies - Archway Veritas,English Language Arts,357,68.0,85018,1,12.6,805800.0,95.75
82,2024,91000,Great Hearts Academies - Archway Veritas,English Language Arts,357,68.0,85018,3,17.8,805800.0,95.75
83,2024,91000,Great Hearts Academies - Archway Veritas,Mathematics,356,73.0,85018,1,12.6,805800.0,95.75
84,2024,91000,Great Hearts Academies - Archway Veritas,Mathematics,356,73.0,85018,3,17.8,805800.0,95.75
85,2024,6344,AAEC - Paradise Valley,English Language Arts,80,74.0,85050,1,12.6,564200.0,99.57
86,2024,6344,AAEC - Paradise Valley,Mathematics,80,65.0,85050,1,12.6,564200.0,99.57
87,2024,5503,AAEC - SMCC Campus,English Language Arts,103,42.0,85042,3,17.8,353400.0,95.53
88,2024,5503,AAEC - SMCC Campus,English Language Arts,103,42.0,85042,4,14.1,353400.0,95.53
89,2024,5503,AAEC - SMCC Campus,Mathematics,104,14.0,85042,3,17.8,353400.0,95.53
90,2024,5503,AAEC - SMCC Campus,Mathematics,104,14.0,85042,4,14.1,353400.0,95.53
91,2024,92567,Arizona Language Preparatory,English Language Arts,27,75.0,85032,1,12.6,387900.0,96.03
92,2024,92567,Arizona Language Preparatory,Mathematics,27,71.0,85032,1,12.6,387900.0,96.03
93,2024,5519,Arizona School For The Arts,English Language Arts,474,63.0,85004,3,17.8,365500.0,98.27
94,2024,5519,Arizona School For The Arts,Mathematics,474,38.0,85004,3,17.8,365500.0,98.27
95,2024,91343,BASIS Phoenix,English Language Arts,543,87.0,85028,1,12.6,583000.0,98.59
96,2024,91343,BASIS Phoenix,Mathematics,546,86.0,85028,1,12.6,583000.0,98.59
97,2024,92030,BASIS Ahwatukee,English Language Arts,517,82.0,85044,3,17.8,437400.0,97.88
98,2024,92030,BASIS Ahwatukee,English Language Arts,517,82.0,85044,4,14.1,437400.0,97.88
99,2024,92030,BASIS Ahwatukee,Mathematics,517,85.0,85044,3,17.8,437400.0,97.88
100,2024,92030,BASIS Ahwatukee,Mathematics,517,85.0,85044,4,14.1,437400.0,97.88
101,2024,92350,BASIS Phoenix Central Primary,English Language Arts,160,64.0,85012,1,12.6,701200.0,97.21
102,2024,92350,BASIS Phoenix Central Primary,English Language Arts,160,64.0,85012,3,17.8,701200.0,97.21
103,2024,92350,BASIS Phoenix Central Primary,Mathematics,164,55.0,85012,1,12.6,701200.0,97.21
104,2024,92350,BASIS Phoenix Central Primary,Mathematics,164,55.0,85012,3,17.8,701200.0,97.21
105,2024,139682,BASIS Phoenix South ,English Language Arts,293,40.0,85041,3,17.8,310100.0,96.59
106,2024,139682,BASIS Phoenix South ,Mathematics,294,34.0,85041,3,17.8,310100.0,96.59
107,2024,469376,BASIS Phoenix Primary,English Language Arts,434,78.0,85028,1,12.6,583000.0,98.59
108,2024,469376,BASIS Phoenix Primary,Mathematics,435,76.0,85028,1,12.6,583000.0,98.59
109,2024,10730,"Hearn Academy, The - A Ball Charter School",English Language Arts,443,67.0,85023,1,12.6,359200.0,97.22
110,2024,10730,"Hearn Academy, The - A Ball Charter School",English Language Arts,443,67.0,85023,8,12.8,359200.0,97.22
111,2024,10730,"Hearn Academy, The - A Ball Charter School",Mathematics,443,60.0,85023,1,12.6,359200.0,97.22
112,2024,10730,"Hearn Academy, The - A Ball Charter School",Mathematics,443,60.0,85023,8,12.8,359200.0,97.22
113,2024,5319,Pat Tillman Middle School,English Language Arts,613,17.0,85008,1,12.6,323600.0,95.95
114,2024,5319,Pat Tillman Middle School,English Language Arts,613,17.0,85008,3,17.8,323600.0,95.95
115,2024,5319,Pat Tillman Middle School,English Language Arts,613,17.0,85008,4,14.1,323600.0,95.95
116,2024,5319,Pat Tillman Middle School,Mathematics,617,5.0,85008,1,12.6,323600.0,95.95
117,2024,5319,Pat Tillman Middle School,Mathematics,617,5.0,85008,3,17.8,323600.0,95.95
118,2024,5319,Pat Tillman Middle School,Mathematics,617,5.0,85008,4,14.1,323600.0,95.95
119,2024,5320,David Crockett Elementary School,English Language Arts,260,29.0,85008,1,12.6,323600.0,95.95
120,2024,5320,David Crockett Elementary School,English Language Arts,260,29.0,85008,3,17.8,323600.0,95.95
121,2024,5320,David Crockett Elementary School,English Language Arts,260,29.0,85008,4,14.1,323600.0,95.95
122,2024,5320,David Crockett Elementary School,Mathematics,265,16.0,85008,1,12.6,323600.0,95.95
123,2024,5320,David Crockett Elementary School,Mathematics,265,16.0,85008,3,17.8,323600.0,95.95
124,2024,5320,David Crockett Elementary School,Mathematics,265,16.0,85008,4,14.1,323600.0,95.95
125,2024,5321,Griffith Elementary School,English Language Arts,235,16.0,85008,1,12.6,323600.0,95.95
126,2024,5321,Griffith Elementary School,English Language Arts,235,16.0,85008,3,17.8,323600.0,95.95
127,2024,5321,Griffith Elementary School,English Language Arts,235,16.0,85008,4,14.1,323600.0,95.95
128,2024,5321,Griffith Elementary School,Mathematics,236,21.0,85008,1,12.6,323600.0,95.95
129,2024,5321,Griffith Elementary School,Mathematics,236,21.0,85008,3,17.8,323600.0,95.95
130,2024,5321,Griffith Elementary School,Mathematics,236,21.0,85008,4,14.1,323600.0,95.95
131,2024,81141,Brunson-Lee Elementary School,English Language Arts,194,10.0,85008,1,12.6,323600.0,95.95
132,2024,81141,Brunson-Lee Elementary School,English Language Arts,194,10.0,85008,3,17.8,323600.0,95.95
